,year,month,week,Date,D,F,T,P,I
340,2021,Dec,49,12/6/2021,3409536.46,5765763.83,132000,11399846.12,230300
341,2021,Dec,49,12/7/2021,965441,6398101.55,NA,5392501.467,206600
342,2021,Dec,49,12/8/2021,1495509.66,4963385.22,260000,2670328.64,126398.88
343,2021,Dec,49,12/9/2021,988064.24,5336440.83,1196500,3826858.98,220900
344,2021,Dec,50,12/10/2021,1818570.87,4904617.56,190607.94,19776543.74,674703.02
345,2021,Dec,50,12/11/2021,580500,1175222.37,NA,NA,50000
346,2021,Dec,50,12/12/2021,111150,2613433.9,30000,NA,NA
347,2021,Dec,50,12/13/2021,2576410,9852368.41,163000,15275018.35,318000
348,2021,Dec,50,12/14/2021,1477542.48,7292703.95,165000,14777998.05,40100
349,2021,Dec,50,12/15/2021,5901424,4750934.06,30000,5659104.81,1084150
350,2021,Dec,50,12/16/2021,2026247.18,8558353.59,50000,4666388.3,171600
351,2021,Dec,51,12/17/2021,4690707.93,7044329.94,1065000,32442423.61,153400
352,2021,Dec,51,12/18/2021,160000,3499513.19,28849.52,NA,70000
353,2021,Dec,51,12/19/2021,30000,1148842.04,30000,NA,359820
354,2021,Dec,51,12/20/2021,2217989.4,6406095.54,95000,19905635.9,171948.18
355,2021,Dec,51,12/21/2021,3483000,9738810.2,1350000,6484405.3,382700
356,2021,Dec,51,12/22/2021,3282690,5364675.21,NA,8161030.72,300062.09
357,2021,Dec,51,12/23/2021,2037770,6192756.5,447000,14273824.24,826838.28
358,2021,Dec,52,12/24/2021,2273931.08,5823130.3,630000,18652238.22,1157500
359,2021,Dec,52,12/25/2021,610700,1596639.36,146912.68,NA,130000
360,2021,Dec,52,12/26/2021,82818.99,1121439.57,24912.68,NA,58000
361,2021,Dec,52,12/27/2021,971849.62,3845277.28,53536.38,11922812.09,276000
362,2021,Dec,52,12/28/2021,703059,1698823.66,230000,26077284.03,242000
363,2021,Dec,52,12/29/2021,1129274,4019126.55,280000,9578239.49,256904.64
364,2021,Dec,52,12/30/2021,2742724,5181528.44,276900,33604269.81,1076370
365,2021,Dec,53,12/31/2021,4706338.1,7743200.61,1265000,32717025.19,1334760
366,2022,Jan,1,1/1/2022,2865471.47,6821027.14,305000,NA,56940
367,2022,Jan,1,1/2/2022,NA,1055593.89,50000,NA,NA
368,2022,Jan,1,1/3/2022,80000,2061557.86,150000,1309428.27,58955
369,2022,Jan,1,1/4/2022,426270.19,3293018.41,270000,973174.21,9900
370,2022,Jan,1,1/5/2022,547500,5847447.04,NA,9460666.37,71000
371,2022,Jan,1,1/6/2022,794721.66,9296531.92,315000,1781967.99,47000
372,2022,Jan,1,1/7/2022,364481.35,10877993.09,385000,11653187.99,456000
373,2022,Jan,2,1/8/2022,193716,3377959.28,10000,NA,NA
374,2022,Jan,2,1/9/2022,157642.81,1720233.64,NA,NA,15000
375,2022,Jan,2,1/10/2022,1433307.98,9160579.92,220000,7201843.72,28000
376,2022,Jan,2,1/11/2022,456208,7074982.5,10000,12699395.23,184900
377,2022,Jan,2,1/12/2022,1878030.08,4878133.26,330500,13268635.33,335457.47
378,2022,Jan,2,1/13/2022,2588670,5944024.66,90000,1932567.82,498980
379,2022,Jan,2,1/14/2022,1159776.14,8860926.2,3.00E+05,8369154.33,128116.03
380,2022,Jan,3,1/15/2022,230185,2595200.67,NA,NA,240000
381,2022,Jan,3,1/16/2022,30000,1367342.56,50000,NA,160000
382,2022,Jan,3,1/17/2022,1560274,6879026.03,981000,8062753.66,280000
383,2022,Jan,3,1/18/2022,1723300,6123783.63,115000,13767517.8,59250
384,2022,Jan,3,1/19/2022,322205,8663267.42,611500,5445293.1,50000
385,2022,Jan,3,1/20/2022,1416344,5137303.96,420000,6799565.07,289956.43
386,2022,Jan,3,1/21/2022,4188845.79,5066045.66,640000,12878295.22,163000
387,2022,Jan,4,1/22/2022,262326,2422868.69,NA,NA,10000
388,2022,Jan,4,1/23/2022,40000,1645320.99,NA,136463.43,694000
389,2022,Jan,4,1/24/2022,1629498,5139333.72,1713000,12651973.78,215000
390,2022,Jan,4,1/25/2022,2159641.58,11994139.29,1438300,20018094.28,849874.97
391,2022,Jan,4,1/26/2022,2646568.48,10021864.26,641275.31,10799889.29,885855
392,2022,Jan,4,1/27/2022,3814195.5,12964597.61,636496.51,9936392.19,615756.01
393,2022,Jan,4,1/28/2022,4508187.46,12267130.48,1471297.42,33122553.79,1129997
394,2022,Jan,5,1/29/2022,1571830,6850674.96,169895.21,NA,230000
395,2022,Jan,5,1/30/2022,1175011.83,2918870.68,339924.88,NA,92943.99
396,2022,Jan,5,1/31/2022,8350612.98,13225417.84,2962200,67683587.54,2577516.95
397,2022,Feb,5,2/1/2022,6277172.79,21226491.94,1497665,1040498.1,1348077.32
398,2022,Feb,5,2/2/2022,1452733,6871246.85,440000,4915139.41,763143
399,2022,Feb,5,2/3/2022,1894409.22,12863620.96,127000,6154757.94,304023
400,2022,Feb,5,2/4/2022,2637105,11408570.9,380000,10554086.72,217000
401,2022,Feb,6,2/5/2022,201224.48,5524377.06,440000,305500,38263.97
402,2022,Feb,6,2/6/2022,683890,3598064.98,97291.66,1.00E+05,23550
403,2022,Feb,6,2/7/2022,3193267.48,8390786.05,265000,11078237.04,465963.96
404,2022,Feb,6,2/8/2022,1305993.67,9995666.28,930876.9,8646031.35,293738.99
405,2022,Feb,6,2/9/2022,1012862.21,8752344.45,1725000,4108291.5,40000
406,2022,Feb,6,2/10/2022,1582166,9789348.78,934772,3803148.68,161950
407,2022,Feb,6,2/11/2022,1428550,11986155.66,1286968,20144023.26,225170
408,2022,Feb,7,2/12/2022,135000,6389819.8,493245.23,454628.94,198131
409,2022,Feb,7,2/13/2022,625200,2568055.77,80000,NA,80000
410,2022,Feb,7,2/14/2022,1227000,7526111.1,526764.44,9478014,376690
411,2022,Feb,7,2/15/2022,2264911,8649293.99,263000,14964972.67,198516.44
412,2022,Feb,7,2/16/2022,2138910,11040819.7,1240000,20644732.4,310413
413,2022,Feb,7,2/17/2022,1351188.44,6379306.8,220000,5491179.54,137770
414,2022,Feb,7,2/18/2022,1137320.73,10457029.31,563100,17707609.03,660877
415,2022,Feb,8,2/19/2022,1367214,5682204.85,20000,NA,264025.54
416,2022,Feb,8,2/20/2022,557500,2140290.76,30000,50000,130000
417,2022,Feb,8,2/21/2022,1157746,9578888.52,304714,16388744.96,136101.17
418,2022,Feb,8,2/22/2022,1774976,10929592.67,495100,12689499.02,1357455
419,2022,Feb,8,2/23/2022,1287450,4215565.77,701669.52,8886724.86,653218.84
420,2022,Feb,8,2/24/2022,927509.45,11745267.97,676467.48,3698623.3,442248
421,2022,Feb,8,2/25/2022,4353511.41,16418250.22,3182506,20519954.27,510763
422,2022,Feb,9,2/26/2022,1627000,8053865.53,1670545.77,3.00E+05,431318
423,2022,Feb,9,2/27/2022,714833,3077310.75,196300,NA,404490
424,2022,Feb,9,2/28/2022,11339601.71,19425861.09,6369600,50665528.82,2859477.73
425,2022,Mar,9,3/1/2022,4112434.35,22293940.41,1423551.54,14198868.41,1471507
426,2022,Mar,9,3/2/2022,1472331.41,9016744.21,776300,3167395.84,433670
427,2022,Mar,9,3/3/2022,1065278.5,11743097.34,1729054.78,3974963.44,414060
428,2022,Mar,9,3/4/2022,1113000,10726933.08,667608.12,14155030.48,122500
429,2022,Mar,10,3/5/2022,731965.64,2542269.8,NA,353335.36,455000
430,2022,Mar,10,3/6/2022,131000,2047621.12,33415.88,17000,NA
431,2022,Mar,10,3/7/2022,1118700,8336899.5,572779.12,9051803.63,504800
432,2022,Mar,10,3/8/2022,1111800.02,8677801.67,475000,12206232.58,153982
433,2022,Mar,10,3/9/2022,2305000,9618512.32,434000,6724577.88,210269
434,2022,Mar,10,3/10/2022,1906035,8329462.76,726600,3490761.15,362810
435,2022,Mar,10,3/11/2022,3520700,15330644.94,1625712.93,27330314.46,674975
436,2022,Mar,11,3/12/2022,329438.58,2625046.6,429659.29,NA,382000
437,2022,Mar,11,3/13/2022,73000,2481795.32,67000,NA,NA
438,2022,Mar,11,3/14/2022,1240885,10784364.5,353000,17907608.9,268593.37
439,2022,Mar,11,3/15/2022,608051.21,5121958.41,324900,31222128.47,176300
440,2022,Mar,11,3/16/2022,350000,7485837.64,383052.95,15037578.81,123608
441,2022,Mar,11,3/17/2022,2138082,5171457.23,1768559.08,5240926.31,345787.16
442,2022,Mar,11,3/18/2022,1315360,9100097.05,1472218,42569896.93,219418.3
443,2022,Mar,12,3/19/2022,180000,7326476.26,495000.35,280000,65000
444,2022,Mar,12,3/20/2022,20000,1566183.02,50000,507125.33,62800
445,2022,Mar,12,3/21/2022,1429112.5,5614755.6,1143297.4,16066636.7,294315
446,2022,Mar,12,3/22/2022,2721000,6346605.23,879488.39,27387492.28,82800.5
447,2022,Mar,12,3/23/2022,1269471.21,7669066.21,355061.91,5265652.17,79920
448,2022,Mar,12,3/24/2022,2337922.7,10004610.15,2548467.48,2439117.66,159020
449,2022,Mar,12,3/25/2022,2670533,12306871.29,1864302.92,22408124.49,325000
450,2022,Mar,13,3/26/2022,435500,8181361.7,1535000,326662.9,157982.37
451,2022,Mar,13,3/27/2022,385000,2172260.03,45000,50000,20600
452,2022,Mar,13,3/28/2022,1476000,8070464.23,1301208.62,13117683.89,871666
453,2022,Mar,13,3/29/2022,2388208.93,13225747.47,1441246.8,20043640.48,1175460.5
454,2022,Mar,13,3/30/2022,3530613.29,10809423.45,3645600,20362387.12,1215874
455,2022,Mar,13,3/31/2022,7295677,15429756.89,2840217.54,95477706.54,1644956.73
