,year,month,week,Date,D,F,T,P,I
67,2021,Mar,10,3/8/2021,2326310.15,5435879.11,866500,16018671.61,497420
68,2021,Mar,10,3/9/2021,2398245.42,6386209.61,424200,4768278.54,766568.81
69,2021,Mar,10,3/10/2021,2686839.72,6605207.71,562000,3479455.41,380650.02
70,2021,Mar,10,3/11/2021,2743643.22,7081922.78,293000,5103866.83,320268.76
71,2021,Mar,11,3/12/2021,2548856.06,6473480.27,896900,28712035.33,566327.85
72,2021,Mar,11,3/13/2021,643918,2635251.23,230000,NA,275500
73,2021,Mar,11,3/14/2021,354064.46,883091.25,NA,NA,NA
74,2021,Mar,11,3/15/2021,3414133.22,4669860.51,515800,7402597.83,441271.65
75,2021,Mar,11,3/16/2021,3802418.67,6210480.21,2192000,4263413.27,308481
76,2021,Mar,11,3/17/2021,5223593.32,5370858.42,2717000,2651395.43,280014.78
77,2021,Mar,11,3/18/2021,2927505.44,6706595.31,315000,2550139.22,374450
78,2021,Mar,12,3/19/2021,1543033.92,15775889.68,1286000,14223173.65,349480
79,2021,Mar,12,3/20/2021,1594015.76,2729056.33,256028.11,NA,257238.46
80,2021,Mar,12,3/21/2021,385982.39,651698.26,1.00E+05,NA,NA
81,2021,Mar,12,3/22/2021,3113018,8617143.05,652483.99,6633707.74,531993.22
82,2021,Mar,12,3/23/2021,2049555,6753518.55,500500,3709322.61,205000
83,2021,Mar,12,3/24/2021,4948999.54,5245519.04,597000,2890462.02,288000
84,2021,Mar,12,3/25/2021,3714679,9397983.52,604000,7325322.47,534750
85,2021,Mar,13,3/26/2021,5933924.14,12897376.86,1236000,10338187.2,1357893.08
86,2021,Mar,13,3/27/2021,1509647.39,5482456.33,85000,NA,60000
87,2021,Mar,13,3/28/2021,1057100,1234858.61,540000,26566.51,45000
88,2021,Mar,13,3/29/2021,5146272.18,11522728.4,1692694.53,7084941.15,1376500
89,2021,Mar,13,3/30/2021,11643689.43,14686808.55,1454111,12320793.51,1820038.25
90,2021,Mar,13,3/31/2021,9873241.23,21333072.48,2369500,26537184.29,1991751.21
91,2021,Apr,13,4/1/2021,6653498.47,12091443.25,941254.99,111545.66,1588991.02
92,2021,Apr,14,4/2/2021,1480942.75,3839235.4,240000,741619.15,1141470
93,2021,Apr,14,4/3/2021,97914.02,1520754.4,NA,NA,50850
94,2021,Apr,14,4/4/2021,587000,964577.06,40000,NA,NA
95,2021,Apr,14,4/5/2021,1927678.72,1151768.54,NA,964456.71,25000
